Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2018-12-31,-1.744905,51.550565,,0.27,2020-12-23,,31,31,PP181924 - S/PRIORC/18/0544 | Prior notification application for the change of use from office (Class B1) to 31no. dwellinghouses (Class C3).,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-05-24,permission in principle,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P6CW7SPT04V00,permissioned,99-100 Victoria RoadOld TownSwindonSN1 3BE,PP181924,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P6CW7SPT04V00,,,
yes,,2018-12-31,-1.774146,51.548621,,1.67,2020-12-23,,,,s0006 - S/18/1906 | Change of use of land from former factory site (use class B1) to lorry park (sui generis).,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-04-10,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PINLXMPTKEW00,permissioned,"Land north of Edison Road, Dorcan",s0006,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PINLXMPTKEW00,,,
yes,,2018-12-31,-1.830491,51.5782,,2.52,2020-12-23,,0,0,s0024 - s0024 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,"Oak House, Rivermead Drive, Swindon",s0024,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2018-12-31,-1.792698,51.568885,,0.93,2020-12-23,,35,35,s0070 - s0070 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Nythe Complex,s0070,https://pa1.swindon.gov.uk/publicaccess/,,,
,,2017-12-31,-1.783934,51.559327,,0.17,2020-12-23,,6,6,s0082 - s0082 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,mixed ownership,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Land bounded by Netherton Close/ Cranemore Avenue/ Keswick Road,s0082,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2017-12-31,-1.787405,51.559517,,0.03,2020-12-23,,1,1,s0090 - S/18/0971 | Erection of 1no. dwelling,,http://opendatacommunities.org/id/unitary-authority/swindon,owned by a public authority,2018-08-24,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P9WLL8PT04V00,permissioned,"Coal Yard, Signal Way",s0090,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P9WLL8PT04V00,,,
yes,2020-12-23,2018-12-31,-1.727309,51.585659,,0.21,2020-12-23,,6,6,s0093 - S/18/0460 | Erection of 6no residential dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-11-15,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5N5YBPTM3A00,permissioned,"Former youth Centre, Sparcells",s0093,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5N5YBPTM3A00,,,
yes,,2018-12-31,-1.790611,51.523084,,13.05,2020-12-23,,,,"s0099 - s0099 | Outline application for the erection of a leisure development of up to 160, 000 sq.m. To include the provision of an entertainment arena, indoor ski centre, cinema, hotel, retail, restaurants and cafes, access, parking and associated works. Application is ongoing. Ref. : S/OUT/15/0943",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,full planning permission,https://pa1.swindon.gov.uk/publicaccess/,permissioned,North Star (Former Clares Site and Oasis Leisure Centre),s0099,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2017-12-31,-1.79276,51.525949,,1.27,2020-12-23,,0,0,s0100 - S/20/0284 | Erection of a hotel (Use Class C1) with ancillary restaurant.Ref. : S/OUT/17/0665,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2020-06-03,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=Q69LYKPTFR800,permissioned,Aspen House and Granville Street Car Park,s0100,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=Q69LYKPTFR800,,,
,,2017-12-31,-1.787231,51.562094,,0.14,2020-12-23,,0,0,"s0101 - S/15/2017 | Demolition of existing and erection of a two story buildings with retail (A1) and food & drink (A3) units. Permission granted on appeal.Ref. : S/15/2017Decision Issued Date: 16/06/2016Demolition of existing tented market and erection of a 12 storey building comprising 101no. Flats, 4no. Class A3 (Food and Drink) units, 1no. Class A1 (Shop) unit. Application granted permission subject to S106 and conditions at October 2017 Planning CommitteeRef. : S/17/0673Decision Issued Date: Pending.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2016-11-09,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NYTT2FPTFMJ00,permissioned,Tented Market,s0101,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NYTT2FPTFMJ00,,,
